Feature A,Feature B,Association score,Potential redundancy
ALLERGY,WHEEZING,0.0236,MINIMAL REDUNDANCY (Orthogonal signals)
YELLOW_FINGERS,WHEEZING,0.0235,MINIMAL REDUNDANCY (Orthogonal signals)
ANXIETY,CHEST_PAIN,0.023,MINIMAL REDUNDANCY (Orthogonal signals)
ANXIETY,ALCOHOL_CONSUMING,0.0225,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,ANXIETY,0.022,MINIMAL REDUNDANCY (Orthogonal signals)
CHRONIC_DISEASE,WHEEZING,0.0216,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,ALLERGY,0.0213,MINIMAL REDUNDANCY (Orthogonal signals)
WHEEZING,SWALLOWING_DIFFICULTY,-0.0209,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,SWALLOWING_DIFFICULTY,-0.0208,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,CHEST_PAIN,-0.0202,MINIMAL REDUNDANCY (Orthogonal signals)
SMOKING,CHEST_PAIN,-0.0197,MINIMAL REDUNDANCY (Orthogonal signals)
PEER_PRESSURE,SWALLOWING_DIFFICULTY,0.0191,MINIMAL REDUNDANCY (Orthogonal signals)
SMOKING,WHEEZING,-0.0179,MINIMAL REDUNDANCY (Orthogonal signals)
ALCOHOL_CONSUMING,SHORTNESS_OF_BREATH,-0.0177,MINIMAL REDUNDANCY (Orthogonal signals)
FATIGUE,WHEEZING,0.0175,MINIMAL REDUNDANCY (Orthogonal signals)
ALLERGY,SWALLOWING_DIFFICULTY,0.0174,MINIMAL REDUNDANCY (Orthogonal signals)
ANXIETY,COUGHING,-0.0172,MINIMAL REDUNDANCY (Orthogonal signals)
FATIGUE,SHORTNESS_OF_BREATH,0.017,MINIMAL REDUNDANCY (Orthogonal signals)
COUGHING,SHORTNESS_OF_BREATH,-0.0168,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,CHRONIC_DISEASE,-0.0168,MINIMAL REDUNDANCY (Orthogonal signals)
CHRONIC_DISEASE,COUGHING,-0.0163,MINIMAL REDUNDANCY (Orthogonal signals)
ANXIETY,CHRONIC_DISEASE,0.0159,MINIMAL REDUNDANCY (Orthogonal signals)
YELLOW_FINGERS,SWALLOWING_DIFFICULTY,0.0155,MINIMAL REDUNDANCY (Orthogonal signals)
FATIGUE,CHEST_PAIN,0.0152,MINIMAL REDUNDANCY (Orthogonal signals)
SHORTNESS_OF_BREATH,SWALLOWING_DIFFICULTY,-0.0146,MINIMAL REDUNDANCY (Orthogonal signals)
SMOKING,ALCOHOL_CONSUMING,0.014,MINIMAL REDUNDANCY (Orthogonal signals)
ALCOHOL_CONSUMING,COUGHING,0.014,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,FATIGUE,-0.0138,MINIMAL REDUNDANCY (Orthogonal signals)
FATIGUE,COUGHING,0.0136,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,COUGHING,-0.0135,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,YELLOW_FINGERS,0.0134,MINIMAL REDUNDANCY (Orthogonal signals)
ANXIETY,SHORTNESS_OF_BREATH,-0.0133,MINIMAL REDUNDANCY (Orthogonal signals)
CHRONIC_DISEASE,FATIGUE,0.0123,MINIMAL REDUNDANCY (Orthogonal signals)
YELLOW_FINGERS,ANXIETY,0.0122,MINIMAL REDUNDANCY (Orthogonal signals)
YELLOW_FINGERS,COUGHING,0.0122,MINIMAL REDUNDANCY (Orthogonal signals)
ANXIETY,FATIGUE,0.0116,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,WHEEZING,-0.0107,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,COUGHING,-0.0105,MINIMAL REDUNDANCY (Orthogonal signals)
FATIGUE,ALLERGY,0.0104,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,SHORTNESS_OF_BREATH,0.0104,MINIMAL REDUNDANCY (Orthogonal signals)
FATIGUE,SWALLOWING_DIFFICULTY,0.0102,MINIMAL REDUNDANCY (Orthogonal signals)
PEER_PRESSURE,FATIGUE,-0.0096,MINIMAL REDUNDANCY (Orthogonal signals)
SHORTNESS_OF_BREATH,CHEST_PAIN,0.0094,MINIMAL REDUNDANCY (Orthogonal signals)
SMOKING,SWALLOWING_DIFFICULTY,0.0094,MINIMAL REDUNDANCY (Orthogonal signals)
YELLOW_FINGERS,CHRONIC_DISEASE,-0.0094,MINIMAL REDUNDANCY (Orthogonal signals)
WHEEZING,COUGHING,0.0091,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,PEER_PRESSURE,0.0086,MINIMAL REDUNDANCY (Orthogonal signals)
CHRONIC_DISEASE,CHEST_PAIN,-0.0086,MINIMAL REDUNDANCY (Orthogonal signals)
PEER_PRESSURE,WHEEZING,-0.0086,MINIMAL REDUNDANCY (Orthogonal signals)
WHEEZING,ALCOHOL_CONSUMING,-0.0084,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,CHEST_PAIN,-0.0083,MINIMAL REDUNDANCY (Orthogonal signals)
COUGHING,CHEST_PAIN,0.0079,MINIMAL REDUNDANCY (Orthogonal signals)
CHRONIC_DISEASE,SWALLOWING_DIFFICULTY,0.0078,MINIMAL REDUNDANCY (Orthogonal signals)
YELLOW_FINGERS,ALLERGY,-0.0075,MINIMAL REDUNDANCY (Orthogonal signals)
YELLOW_FINGERS,CHEST_PAIN,-0.0067,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,SHORTNESS_OF_BREATH,-0.0064,MINIMAL REDUNDANCY (Orthogonal signals)
ALLERGY,ALCOHOL_CONSUMING,-0.0062,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,WHEEZING,-0.0056,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,CHRONIC_DISEASE,-0.0054,MINIMAL REDUNDANCY (Orthogonal signals)
YELLOW_FINGERS,PEER_PRESSURE,0.0048,MINIMAL REDUNDANCY (Orthogonal signals)
PEER_PRESSURE,ALLERGY,0.0048,MINIMAL REDUNDANCY (Orthogonal signals)
YELLOW_FINGERS,FATIGUE,-0.0048,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,YELLOW_FINGERS,0.0041,MINIMAL REDUNDANCY (Orthogonal signals)
FATIGUE,ALCOHOL_CONSUMING,0.0033,MINIMAL REDUNDANCY (Orthogonal signals)
COUGHING,SWALLOWING_DIFFICULTY,0.0032,MINIMAL REDUNDANCY (Orthogonal signals)
ANXIETY,ALLERGY,-0.0031,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,PEER_PRESSURE,-0.0028,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,FATIGUE,0.0027,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,ALCOHOL_CONSUMING,-0.0025,MINIMAL REDUNDANCY (Orthogonal signals)
ALCOHOL_CONSUMING,CHEST_PAIN,-0.0024,MINIMAL REDUNDANCY (Orthogonal signals)
PEER_PRESSURE,COUGHING,-0.0019,MINIMAL REDUNDANCY (Orthogonal signals)
WHEEZING,SHORTNESS_OF_BREATH,-0.0015,MINIMAL REDUNDANCY (Orthogonal signals)
SMOKING,YELLOW_FINGERS,0.0015,MINIMAL REDUNDANCY (Orthogonal signals)
ALLERGY,CHEST_PAIN,0.0009,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,SWALLOWING_DIFFICULTY,0.0007,MINIMAL REDUNDANCY (Orthogonal signals)
SMOKING,ALLERGY,-0.0004,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,AGE,0.0002,MINIMAL REDUNDANCY (Orthogonal signals)
